State,Continuum of Care (CoC),ES-SH-TH Median (Days),ES-SH-TH-PH 1st Time Homeless,Percent Returns in 6 mths,Percent Returns in 12 mths,"Percent with Successful  ES, TH, SH, PH-RRH Exit"
NC,Winston-Salem/Forsyth County CoC,47,1056,0.093502377,0.107765452,30%
NC,Asheville/Buncombe County CoC,135,618,0.083832335,0.116766467,54%
NC,Durham City & County CoC,62,728,0.032258065,0.043778802,40%
NC,North Carolina Balance of State CoC,38,5366,0.054674457,0.093071786,43%
NC,"Greensboro, High Point CoC",64,1068,0.090673575,0.125647668,40%
NC,Charlotte/Mecklenberg CoC,60,3515,0.097912525,0.133697813,36%
NC,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",49,663,0.054507338,0.094339623,49%
NC,Raleigh/Wake County CoC,28,1756,0.101937658,0.144903117,25%
NC,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",24,627,0.023904382,0.055776892,11%
NC,Fayetteville/Cumberland County CoC,87,353,0.0078125,0.0078125,56%
NC,Chapel Hill/Orange County CoC,67,211,0.031746032,0.047619048,22%
NC,Northwest North Carolina CoC,67,185,0.065217391,0.108695652,64%
